,MovieID,Title,Genres,Number_of_Ratings,Average_Rating
46,47,Seven (Se7en) (1995),Crime|Thriller,1137,4.106420404573439
47,48,Pocahontas (1995),Animation|Children's|Musical|Romance,382,2.9764397905759163
48,49,When Night Is Falling (1995),Drama|Romance,27,3.740740740740741
49,50,"Usual Suspects, The (1995)",Crime|Thriller,1783,4.517106001121705
50,52,Mighty Aphrodite (1995),Comedy,431,3.640371229698376
51,53,Lamerica (1994),Drama,8,4.75
52,54,"Big Green, The (1995)",Children's|Comedy,41,2.5609756097560976
53,55,Georgia (1995),Drama,45,3.066666666666667
54,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,9,2.0
55,57,Home for the Holidays (1995),Drama,99,3.404040404040404
56,58,"Postino, Il (The Postman) (1994)",Drama|Romance,501,4.093812375249501
57,59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,8,2.75
58,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,357,3.212885154061625
59,61,Eye for an Eye (1996),Drama|Thriller,67,3.0
60,62,Mr. Holland's Opus (1995),Drama,541,3.6968576709796674
61,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,111,2.855855855855856
62,64,Two if by Sea (1996),Comedy|Romance,79,2.2658227848101267
63,65,Bio-Dome (1996),Comedy,143,2.062937062937063
64,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,97,1.6701030927835052
65,67,Two Bits (1995),Drama,4,3.25
66,68,French Twist (Gazon maudit) (1995),Comedy|Romance,60,3.45
67,69,Friday (1995),Comedy,319,3.6551724137931036
68,70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,914,3.1564551422319473
69,71,Fair Game (1995),Action,96,2.1041666666666665
70,72,Kicking and Screaming (1995),Comedy|Drama,93,3.6344086021505375
71,73,"Misérables, Les (1995)",Drama|Musical,224,3.8169642857142856
72,74,Bed of Roses (1996),Drama|Romance,120,2.975
73,75,Big Bully (1996),Comedy|Drama,12,1.9166666666666667
74,76,Screamers (1995),Sci-Fi|Thriller,178,2.853932584269663
75,77,Nico Icon (1995),Documentary,34,3.764705882352941
76,78,"Crossing Guard, The (1995)",Drama,50,3.26
77,79,"Juror, The (1996)",Drama|Thriller,114,2.6052631578947367
78,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,52,3.826923076923077
79,81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,166,3.1626506024096384
80,82,Antonia's Line (Antonia) (1995),Drama,89,3.8764044943820224
81,83,Once Upon a Time... When We Were Colored (1995),Drama,33,3.696969696969697
82,84,Last Summer in the Hamptons (1995),Comedy|Drama,21,3.0952380952380953
83,85,Angels and Insects (1995),Drama|Romance,194,3.402061855670103
84,86,White Squall (1996),Adventure|Drama,236,3.3940677966101696
85,87,Dunston Checks In (1996),Children's|Comedy,76,2.210526315789474
86,88,Black Sheep (1996),Comedy,192,2.9427083333333335
87,89,Nick of Time (1995),Action|Thriller,229,3.074235807860262
88,90,"Journey of August King, The (1995)",Drama,6,3.6666666666666665
89,92,Mary Reilly (1996),Drama|Thriller,88,2.340909090909091
90,93,Vampire in Brooklyn (1995),Comedy|Romance,89,2.235955056179775
91,94,Beautiful Girls (1996),Drama,182,3.7252747252747254
92,95,Broken Arrow (1996),Action|Thriller,638,2.876175548589342
93,96,In the Bleak Midwinter (1995),Comedy,13,3.923076923076923
94,97,"Hate (Haine, La) (1995)",Drama,44,3.75
95,98,Shopping (1994),Action|Thriller,6,2.0
96,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,50,3.46
97,100,City Hall (1996),Drama|Thriller,128,3.0625
98,101,Bottle Rocket (1996),Comedy,253,3.869565217391304
99,102,Mr. Wrong (1996),Comedy,60,1.8166666666666667
100,103,Unforgettable (1996),Thriller,33,3.212121212121212
101,104,Happy Gilmore (1996),Comedy,682,3.526392961876833
102,105,"Bridges of Madison County, The (1995)",Drama|Romance,387,3.2325581395348837
103,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,12,3.5833333333333335
104,107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,256,3.1484375
105,108,Catwalk (1995),Documentary,7,2.857142857142857
106,110,Braveheart (1995),Action|Drama|War,2443,4.234957020057307
107,111,Taxi Driver (1976),Drama|Thriller,1240,4.183870967741935
108,112,Rumble in the Bronx (1995),Action|Adventure|Crime,570,3.443859649122807
109,113,Before and After (1996),Drama|Mystery,53,2.981132075471698
110,114,Margaret's Museum (1995),Drama,11,3.090909090909091
111,116,Anne Frank Remembered (1995),Documentary,41,4.097560975609756
112,117,"Young Poisoner's Handbook, The (1995)",Crime,79,3.632911392405063
113,118,If Lucy Fell (1996),Comedy|Romance,68,3.073529411764706
114,119,"Steal Big, Steal Little (1995)",Comedy,13,2.4615384615384617
115,120,Race the Sun (1996),Drama,3,2.6666666666666665
116,121,"Boys of St. Vincent, The (1993)",Drama,37,4.054054054054054
117,122,Boomerang (1992),Comedy|Romance,194,2.768041237113402
118,123,Chungking Express (1994),Drama|Mystery|Romance,115,3.869565217391304
119,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,14,3.2142857142857144
120,125,Flirting With Disaster (1996),Comedy,318,3.8333333333333335
121,126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,99,1.9898989898989898
122,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1,1.0
123,128,Jupiter's Wife (1994),Documentary,12,4.333333333333333
124,129,Pie in the Sky (1995),Comedy|Romance,13,3.3076923076923075
125,130,Angela (1995),Drama,2,4.0
126,131,Frankie Starlight (1995),Drama|Romance,16,3.0625
127,132,Jade (1995),Thriller,91,2.4945054945054945
128,133,Nueba Yol (1995),Comedy|Drama,1,1.0
129,134,Sonic Outlaws (1995),Documentary,2,4.0
130,135,Down Periscope (1996),Comedy,133,2.81203007518797
131,136,From the Journals of Jean Seberg (1995),Documentary,8,3.25
132,137,Man of the Year (1995),Documentary,13,3.0
133,138,"Neon Bible, The (1995)",Drama,2,2.5
134,139,Target (1995),Action|Drama,1,4.0
135,140,Up Close and Personal (1996),Drama|Romance,139,3.1654676258992804
136,141,"Birdcage, The (1996)",Comedy,682,3.5498533724340176
137,142,Shadows (Cienie) (1988),Drama,1,1.0
138,144,"Brothers McMullen, The (1995)",Comedy,433,3.392609699769053
139,145,Bad Boys (1995),Action,362,3.2955801104972378
140,146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,18,2.888888888888889
141,147,"Basketball Diaries, The (1995)",Drama,181,3.541436464088398
142,148,"Awfully Big Adventure, An (1995)",Drama,23,2.782608695652174
143,149,Amateur (1994),Crime|Drama|Thriller,47,3.7872340425531914
144,150,Apollo 13 (1995),Drama,1251,4.073541167066347
145,151,Rob Roy (1995),Drama|Romance|War,554,3.588447653429603
146,152,"Addiction, The (1995)",Horror,69,3.0
147,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,777,2.642213642213642
148,154,Belle de jour (1967),Drama,168,3.7261904761904763
149,155,Beyond Rangoon (1995),Drama|War,87,3.413793103448276
150,156,Blue in the Face (1995),Comedy,66,3.5606060606060606
151,157,Canadian Bacon (1994),Comedy|War,187,2.732620320855615
152,158,Casper (1995),Adventure|Children's,259,2.9806949806949805
153,159,Clockers (1995),Drama,116,3.2844827586206895
154,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,565,2.2389380530973453
155,161,Crimson Tide (1995),Drama|Thriller|War,760,3.723684210526316
156,162,Crumb (1994),Documentary,491,4.063136456211812
157,163,Desperado (1995),Action|Romance|Thriller,540,3.4574074074074073
158,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,379,3.5672823218997363
159,165,Die Hard: With a Vengeance (1995),Action|Thriller,825,3.561212121212121
160,166,"Doom Generation, The (1995)",Comedy|Drama,61,2.459016393442623
161,167,Feast of July (1995),Drama,5,3.6
162,168,First Knight (1995),Action|Adventure|Drama|Romance,362,2.9502762430939224
163,169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,113,2.017699115044248
164,170,Hackers (1995),Action|Crime|Thriller,321,3.146417445482866
165,171,Jeffrey (1995),Comedy,93,3.5698924731182795
166,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,458,2.576419213973799
167,173,Judge Dredd (1995),Action|Adventure|Sci-Fi,564,2.3085106382978724
168,174,Jury Duty (1995),Comedy,81,2.308641975308642
169,175,Kids (1995),Drama,220,3.477272727272727
170,176,Living in Oblivion (1995),Comedy,205,3.9170731707317072
171,177,Lord of Illusions (1995),Horror,139,2.7338129496402876
172,178,Love & Human Remains (1993),Comedy,19,3.473684210526316
173,179,Mad Love (1995),Drama|Romance,48,2.2083333333333335
174,180,Mallrats (1995),Comedy,451,3.5476718403547673
175,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,93,1.6129032258064515
176,182,Moonlight and Valentino (1995),Drama|Romance,49,3.142857142857143
177,183,Mute Witness (1994),Thriller,29,3.4827586206896552
178,184,Nadja (1994),Drama,26,3.3461538461538463
179,185,"Net, The (1995)",Sci-Fi|Thriller,569,2.869947275922671
180,186,Nine Months (1995),Comedy,211,2.7630331753554502
181,187,Party Girl (1995),Comedy,105,3.238095238095238
182,188,"Prophecy, The (1995)",Horror,190,3.221052631578947
183,189,Reckless (1995),Comedy,15,3.4
184,190,Safe (1995),Thriller,100,3.75
185,191,"Scarlet Letter, The (1995)",Drama,75,2.466666666666667
186,192,"Show, The (1995)",Documentary,2,3.0
187,193,Showgirls (1995),Drama,217,2.0506912442396312
188,194,Smoke (1995),Drama,213,3.755868544600939
189,195,Something to Talk About (1995),Comedy|Drama|Romance,164,2.841463414634146
190,196,Species (1995),Horror|Sci-Fi,550,2.8236363636363637
191,197,"Stars Fell on Henrietta, The (1995)",Drama,17,3.0588235294117645
192,198,Strange Days (1995),Action|Crime|Sci-Fi,605,3.2958677685950413
193,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,117,3.8119658119658117
194,200,"Tie That Binds, The (1995)",Thriller,12,2.4166666666666665
195,201,Three Wishes (1995),Drama,33,2.6363636363636362
196,202,Total Eclipse (1995),Drama|Romance,30,2.5
197,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,203,3.0541871921182264
198,204,Under Siege 2: Dark Territory (1995),Action,203,2.9211822660098523
199,205,Unstrung Heroes (1995),Comedy|Drama,85,3.611764705882353
200,206,Unzipped (1995),Documentary,82,3.6707317073170733
201,207,"Walk in the Clouds, A (1995)",Drama|Romance,219,3.132420091324201
202,208,Waterworld (1995),Action|Adventure,651,2.6313364055299537
203,209,White Man's Burden (1995),Drama,52,2.4615384615384617
204,210,Wild Bill (1995),Western,41,3.1463414634146343
205,211,"Browning Version, The (1994)",Drama,34,3.5588235294117645
206,212,Bushwhacked (1995),Comedy,14,1.9285714285714286
207,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,123,4.056910569105691
208,214,Before the Rain (Pred dozhdot) (1994),Drama,28,4.25
209,215,Before Sunrise (1995),Drama|Romance,160,3.80625
210,216,Billy Madison (1995),Comedy,355,3.183098591549296
211,217,"Babysitter, The (1995)",Drama|Thriller,64,2.625
212,218,Boys on the Side (1995),Comedy|Drama,195,3.128205128205128
213,219,"Cure, The (1995)",Drama,22,3.1818181818181817
214,220,Castle Freak (1995),Horror,28,1.8214285714285714
215,222,Circle of Friends (1995),Drama|Romance,329,3.547112462006079
216,223,Clerks (1994),Comedy,1412,3.946883852691218
217,224,Don Juan DeMarco (1995),Comedy|Drama|Romance,386,3.3911917098445596
218,225,Disclosure (1994),Drama|Thriller,254,3.173228346456693
219,226,Dream Man (1995),Thriller,1,2.0
220,227,Drop Zone (1994),Action,129,2.6744186046511627
221,228,Destiny Turns on the Radio (1995),Comedy,13,2.1538461538461537
222,229,Death and the Maiden (1994),Drama|Thriller,108,3.5
223,230,Dolores Claiborne (1994),Drama|Thriller,349,3.4527220630372493
224,231,Dumb & Dumber (1994),Comedy,660,3.1924242424242424
225,232,Eat Drink Man Woman (1994),Comedy|Drama,346,4.07514450867052
226,233,Exotica (1994),Drama,235,3.6127659574468085
227,234,Exit to Eden (1994),Comedy,147,2.2244897959183674
228,235,Ed Wood (1994),Comedy|Drama,927,3.696871628910464
229,236,French Kiss (1995),Comedy|Romance,326,3.303680981595092
230,237,Forget Paris (1995),Comedy|Romance,257,2.972762645914397
231,238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,32,2.8125
232,239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,168,2.875
233,240,Hideaway (1995),Thriller,45,2.7111111111111112
234,241,Fluke (1995),Children's|Drama,29,3.310344827586207
235,242,Farinelli: il castrato (1994),Drama|Musical,80,3.5
236,243,Gordy (1995),Comedy,10,2.1
237,244,Gumby: The Movie (1995),Animation|Children's,10,1.9
238,245,"Glass Shield, The (1994)",Crime|Drama,11,3.0
239,246,Hoop Dreams (1994),Documentary,716,4.18854748603352
240,247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,477,3.8658280922431865
241,248,Houseguest (1994),Comedy,138,2.9130434782608696
242,249,Immortal Beloved (1994),Drama|Romance,261,3.7586206896551726
243,250,Heavyweights (1994),Children's|Comedy,30,2.6
244,251,"Hunted, The (1995)",Action,18,3.2777777777777777
245,252,I.Q. (1994),Comedy|Romance,367,3.2697547683923704
246,253,Interview with the Vampire (1994),Drama|Horror,738,3.524390243902439
247,254,Jefferson in Paris (1995),Drama,38,3.0789473684210527
248,255,"Jerky Boys, The (1994)",Comedy,66,2.0606060606060606
249,256,Junior (1994),Comedy|Sci-Fi,218,2.6513761467889907
250,257,Just Cause (1995),Mystery|Thriller,114,3.2280701754385963
251,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,144,2.423611111111111
252,259,Kiss of Death (1995),Crime|Drama|Thriller,102,2.843137254901961
253,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,2991,4.453694416583082
254,261,Little Women (1994),Drama,285,3.6491228070175437
255,262,"Little Princess, A (1995)",Children's|Drama,172,3.872093023255814
256,263,Ladybird Ladybird (1994),Drama,28,3.857142857142857
257,264,"Enfer, L' (1994)",Drama,5,3.2
258,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,772,3.9326424870466323
259,266,Legends of the Fall (1994),Drama|Romance|War|Western,705,3.425531914893617
260,267,Major Payne (1994),Comedy,140,2.7285714285714286
261,268,Little Odessa (1994),Drama,54,3.3703703703703702
262,269,My Crazy Life (Mi vida loca) (1993),Drama,55,3.5272727272727273
263,270,Love Affair (1994),Drama|Romance,79,3.037974683544304
264,271,Losing Isaiah (1995),Drama,63,3.142857142857143
265,272,"Madness of King George, The (1994)",Drama,383,3.7258485639686683
266,273,Mary Shelley's Frankenstein (1994),Drama|Horror,244,2.8975409836065573
267,274,Man of the House (1995),Comedy,24,2.375
268,275,Mixed Nuts (1994),Comedy,80,2.5375
269,276,Milk Money (1994),Comedy|Romance,228,2.692982456140351
270,277,Miracle on 34th Street (1994),Drama,170,3.1823529411764704
271,278,Miami Rhapsody (1995),Comedy,40,2.75
272,279,My Family (1995),Drama,46,3.717391304347826
273,280,Murder in the First (1995),Drama|Thriller,212,3.5707547169811322
274,281,Nobody's Fool (1994),Drama,233,3.648068669527897
275,282,Nell (1994),Drama,215,3.2232558139534886
276,283,New Jersey Drive (1995),Crime|Drama,18,3.0
277,286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,1,3.0
278,287,Nina Takes a Lover (1994),Comedy|Romance,21,2.9047619047619047
279,288,Natural Born Killers (1994),Action|Thriller,700,3.144285714285714
280,289,Only You (1994),Comedy|Romance,158,3.3417721518987342
281,290,Once Were Warriors (1994),Crime|Drama,168,3.9166666666666665
282,291,Poison Ivy II (1995),Thriller,48,2.2083333333333335
283,292,Outbreak (1995),Action|Drama|Thriller,733,3.2687585266030013
284,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,923,4.106175514626218
285,294,"Perez Family, The (1995)",Comedy|Romance,42,3.0952380952380953
286,295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,29,2.7586206896551726
287,296,Pulp Fiction (1994),Crime|Drama,2171,4.278212805158913
288,297,Panther (1995),Drama,28,3.107142857142857
289,298,Pushing Hands (1992),Comedy,23,3.9130434782608696
290,299,Priest (1994),Drama,143,3.664335664335664
291,300,Quiz Show (1994),Drama,705,3.7588652482269502
292,301,Picture Bride (1995),Drama|Romance,43,3.302325581395349
293,302,Queen Margot (La Reine Margot) (1994),Drama|Romance,86,3.813953488372093
294,303,"Quick and the Dead, The (1995)",Action|Adventure|Western,418,2.9760765550239237
295,304,Roommates (1995),Comedy|Drama,35,3.142857142857143
296,305,Ready to Wear (Pret-A-Porter) (1994),Comedy,127,2.5039370078740157
297,306,Three Colors: Red (1994),Drama,334,4.227544910179641
298,307,Three Colors: Blue (1993),Drama,243,4.098765432098766
299,308,Three Colors: White (1994),Drama,202,3.9653465346534653
300,309,"Red Firecracker, Green Firecracker (1994)",Drama,48,3.6875
301,310,Rent-a-Kid (1995),Comedy,6,2.6666666666666665
302,311,Relative Fear (1994),Horror|Thriller,1,3.0
303,312,Stuart Saves His Family (1995),Comedy,112,2.4375
304,313,"Swan Princess, The (1994)",Animation|Children's,54,2.888888888888889
305,314,"Secret of Roan Inish, The (1994)",Drama,300,3.85
306,315,"Specialist, The (1994)",Action,153,2.65359477124183
307,316,Stargate (1994),Action|Adventure|Sci-Fi,1116,3.490143369175627
308,317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,641,3.1918876755070205
309,318,"Shawshank Redemption, The (1994)",Drama,2227,4.554557700942973
310,319,Shallow Grave (1994),Thriller,273,3.8937728937728937
311,320,Suture (1993),Film-Noir|Thriller,32,3.40625
312,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,61,3.7540983606557377
313,322,Swimming with Sharks (1995),Comedy|Drama,209,3.712918660287081
314,324,"Sum of Us, The (1994)",Comedy,33,3.9696969696969697
315,325,National Lampoon's Senior Trip (1995),Comedy,49,2.4489795918367347
316,326,To Live (Huozhe) (1994),Drama,61,4.344262295081967
317,327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,358,2.6145251396648046
318,328,Tales From the Crypt Presents: Demon Knight (1995),Horror,144,3.111111111111111
319,329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,990,3.3767676767676766
320,330,Tales from the Hood (1995),Comedy|Horror,149,2.7315436241610738
321,331,Tom & Viv (1994),Drama,21,3.0952380952380953
322,332,Village of the Damned (1995),Horror|Sci-Fi,161,2.546583850931677
323,333,Tommy Boy (1995),Comedy,410,3.502439024390244
324,334,Vanya on 42nd Street (1994),Drama,114,3.8596491228070176
325,335,"Underneath, The (1995)",Mystery|Thriller,41,3.4878048780487805
326,336,"Walking Dead, The (1995)",Drama|War,19,2.6842105263157894
327,337,What's Eating Gilbert Grape (1993),Drama,693,3.8412698412698414
328,338,Virtuosity (1995),Sci-Fi|Thriller,221,2.8823529411764706
329,339,While You Were Sleeping (1995),Comedy|Romance,673,3.49925705794948
330,340,"War, The (1994)",Adventure|Drama,84,3.2738095238095237
331,341,Double Happiness (1994),Drama,31,3.838709677419355
332,342,Muriel's Wedding (1994),Comedy|Romance,518,3.6776061776061777
333,343,"Baby-Sitters Club, The (1995)",Children's,42,2.4285714285714284
334,344,Ace Ventura: Pet Detective (1994),Comedy,766,3.1488250652741514
335,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,469,3.8059701492537314
336,346,Backbeat (1993),Drama|Musical,120,3.525
337,347,Bitter Moon (1992),Drama,46,3.1739130434782608
338,348,Bullets Over Broadway (1994),Comedy,455,3.698901098901099
339,349,Clear and Present Danger (1994),Action|Adventure|Thriller,1059,3.7261567516525025
340,350,"Client, The (1994)",Drama|Mystery|Thriller,515,3.392233009708738
341,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,257,3.342412451361868
342,352,Crooklyn (1994),Comedy,119,3.134453781512605
343,353,"Crow, The (1994)",Action|Romance|Thriller,734,3.4455040871934606
344,354,Cobb (1994),Drama,67,3.1791044776119404
345,355,"Flintstones, The (1994)",Children's|Comedy,267,2.352059925093633
346,356,Forrest Gump (1994),Comedy|Romance|War,2194,4.087967183226983
347,357,Four Weddings and a Funeral (1994),Comedy|Romance,1233,3.7437145174371453
348,358,Higher Learning (1995),Drama,141,3.1702127659574466
349,359,I Like It Like That (1994),Comedy|Drama|Romance,19,3.210526315789474
350,360,I Love Trouble (1994),Action|Comedy,127,2.4960629921259843
351,361,It Could Happen to You (1994),Drama|Romance,268,3.421641791044776
352,362,"Jungle Book, The (1994)",Adventure|Children's|Romance,239,3.3640167364016738
353,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,62,4.258064516129032
354,364,"Lion King, The (1994)",Animation|Children's|Musical,1121,3.8608385370205176
355,365,Little Buddha (1993),Drama,71,3.1690140845070425
356,366,Wes Craven's New Nightmare (1994),Horror,251,2.8207171314741037
357,367,"Mask, The (1994)",Comedy|Crime|Fantasy,1179,3.279050042408821
358,368,Maverick (1994),Action|Comedy|Western,802,3.5236907730673317
359,369,Mrs. Parker and the Vicious Circle (1994),Drama,58,3.310344827586207
360,370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,412,2.8980582524271843
361,371,"Paper, The (1994)",Comedy|Drama,212,3.1792452830188678
362,372,Reality Bites (1994),Comedy|Drama,428,3.1542056074766354
363,373,Red Rock West (1992),Thriller,258,3.856589147286822
364,374,Richie Rich (1994),Children's|Comedy,183,2.1147540983606556
365,375,Safe Passage (1994),Drama,17,3.2941176470588234
366,376,"River Wild, The (1994)",Action|Thriller,350,3.2457142857142856
367,377,Speed (1994),Action|Romance|Thriller,1650,3.5654545454545454
368,378,Speechless (1994),Comedy|Romance,140,2.892857142857143
369,379,Timecop (1994),Action|Sci-Fi,436,2.889908256880734
370,380,True Lies (1994),Action|Adventure|Comedy|Romance,1400,3.6342857142857143
371,381,When a Man Loves a Woman (1994),Drama,211,3.2606635071090047
372,382,Wolf (1994),Drama|Horror,272,2.9338235294117645
373,383,Wyatt Earp (1994),Western,270,3.2666666666666666
374,384,Bad Company (1995),Action,40,2.9
375,385,"Man of No Importance, A (1994)",Drama,10,3.4
376,386,S.F.W. (1994),Drama,30,2.6
377,387,"Low Down Dirty Shame, A (1994)",Action|Comedy,102,2.7450980392156863
378,388,Boys Life (1995),Drama,97,3.6391752577319587
379,389,"Colonel Chabert, Le (1994)",Drama|Romance|War,20,3.7
380,390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,59,3.542372881355932
381,391,Jason's Lyric (1994),Crime|Drama,40,3.275
382,392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,25,2.8
383,393,Street Fighter (1994),Action,105,1.8571428571428572
384,394,Coldblooded (1995),Action,18,3.6666666666666665
385,396,Fall Time (1995),Drama,1,4.0
386,397,"Fear, The (1995)",Horror,12,2.4166666666666665
387,398,Frank and Ollie (1995),Documentary,1,4.0
388,401,Mirage (1995),Action|Thriller,2,3.0
389,402,Open Season (1996),Comedy,1,3.0
390,404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,4,3.75
391,405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,203,2.123152709359606
392,406,Federal Hill (1994),Drama,8,3.625
393,407,In the Mouth of Madness (1995),Horror|Thriller,193,2.911917098445596
394,408,8 Seconds (1994),Drama,72,3.3194444444444446
395,409,Above the Rim (1994),Drama,49,3.020408163265306
396,410,Addams Family Values (1993),Comedy,463,2.9071274298056156
397,411,You So Crazy (1994),Comedy,13,2.6153846153846154
398,412,"Age of Innocence, The (1993)",Drama,295,3.559322033898305
399,413,Airheads (1994),Comedy,245,2.5306122448979593
400,414,"Air Up There, The (1994)",Comedy,90,2.6555555555555554
401,415,Another Stakeout (1993),Comedy|Thriller,179,2.4804469273743015
402,416,Bad Girls (1994),Western,89,2.4269662921348316
403,417,Barcelona (1994),Comedy|Romance,208,3.485576923076923
404,418,Being Human (1993),Drama,29,2.5172413793103448
405,419,"Beverly Hillbillies, The (1993)",Comedy,156,2.1923076923076925
406,420,Beverly Hills Cop III (1994),Action|Comedy,352,2.5056818181818183
407,421,Black Beauty (1994),Adventure|Children's,94,3.3617021276595747
408,422,Blink (1994),Thriller,57,3.1228070175438596
409,423,Blown Away (1994),Action|Thriller,221,3.1085972850678734
